,Before Mean (Conditions 1+2 Combined),Before Median (Conditions 1+2 Combined),Before Std Dev (Conditions 1+2 Combined),Before Min (Conditions 1+2 Combined),Before Max (Conditions 1+2 Combined),Before Q1 (Conditions 1+2 Combined),Before Q3 (Conditions 1+2 Combined),Before IQR (Conditions 1+2 Combined),After Mean (Conditions 1+2 Combined),After Median (Conditions 1+2 Combined),After Std Dev (Conditions 1+2 Combined),After Min (Conditions 1+2 Combined),After Max (Conditions 1+2 Combined),After Q1 (Conditions 1+2 Combined),After Q3 (Conditions 1+2 Combined),After IQR (Conditions 1+2 Combined)
Anger,5.416666666666667,4.0,2.438960723702763,4.0,13.0,4.0,5.5,1.5,5.166666666666667,4.0,2.7493314695415982,4.0,14.5,4.0,5.125,1.125
Disgust,5.416666666666667,4.75,2.023755972268919,4.0,11.5,4.0,5.5,1.5,10.25,10.0,3.1401105263425135,4.0,14.5,7.375,12.625,5.25
Fear,6.25,4.0,3.824264635194589,4.0,19.0,4.0,7.0,3.0,5.166666666666667,4.0,1.7489492643904123,4.0,10.0,4.0,6.625,2.625
Anxiety,10.25,10.0,3.536573615970191,4.0,16.0,7.375,13.0,5.625,7.25,5.5,3.7189894263013406,4.0,17.5,4.375,8.5,4.125
Sadness,7.166666666666667,5.5,3.8805700005813275,4.0,17.5,4.0,8.5,4.5,5.833333333333333,4.0,2.5495097567963922,4.0,11.5,4.0,7.0,3.0
Desire,10.666666666666666,10.0,4.749612987329785,4.0,23.5,7.375,11.5,4.125,10.0,9.25,4.365641250653994,4.0,17.5,7.375,12.625,5.25
Relaxation,15.416666666666666,16.0,5.615760385369229,5.5,23.5,11.875,20.125,8.25,16.916666666666668,19.0,6.198315710502235,4.0,25.0,11.875,21.625,9.75
Happiness,14.916666666666666,13.75,5.906750873564327,4.0,25.0,10.375,20.125,9.75,16.25,15.25,5.7118298293979315,4.0,23.5,13.0,20.5,7.5
