,Before Mean,Before Std Dev,Before Min,Before Max,Before Median,Before Q1,Before Q3,Before IQR,After Mean,After Std Dev,After Min,After Max,After Median,After Q1,After Q3,After IQR
Anger,5.4,3.0,4.0,14.5,4.0,4.0,5.1,1.1,4.4,1.6,4.0,10.0,4.0,4.0,4.0,0.0
Disgust,5.5,3.6,4.0,17.5,4.0,4.0,5.5,1.5,9.1,6.7,4.0,25.0,5.5,4.0,12.2,8.2
Fear,4.9,2.8,4.0,14.5,4.0,4.0,4.0,0.0,5.8,3.0,4.0,13.0,4.0,4.0,7.0,3.0
Anxiety,7.1,3.6,4.0,16.0,5.5,4.4,9.2,4.9,7.8,3.5,4.0,13.0,8.5,4.0,10.8,6.8
Sadness,6.2,5.2,4.0,23.5,4.0,4.0,5.5,1.5,6.5,4.4,4.0,20.5,5.5,4.0,6.6,2.6
Desire,8.1,4.1,4.0,16.0,6.2,4.4,11.5,7.1,6.9,4.4,4.0,17.5,4.0,4.0,9.2,5.2
Relaxation,16.9,6.4,7.0,28.0,19.0,10.8,20.5,9.8,14.9,5.2,4.0,22.0,16.0,13.4,18.2,4.9
Happiness,12.9,3.7,7.0,20.5,13.8,10.8,14.5,3.8,13.0,4.4,4.0,19.0,13.8,11.5,16.0,4.5
