,Before Mean,Before Std Dev,Before Min,Before Max,Before Median,Before Q1,Before Q3,Before IQR,After Mean,After Std Dev,After Min,After Max,After Median,After Q1,After Q3,After IQR
Anger,7.2,5.1,4.0,22.0,5.5,4.0,8.1,4.1,5.4,3.1,4.0,14.5,4.0,4.0,5.1,1.1
Disgust,6.4,3.5,4.0,17.5,5.5,4.0,7.0,3.0,9.6,3.9,4.0,14.5,10.0,7.0,12.6,5.6
Fear,6.1,3.0,4.0,13.0,4.0,4.0,7.0,3.0,5.3,1.8,4.0,10.0,4.0,4.0,6.6,2.6
Anxiety,10.9,5.6,4.0,26.5,10.0,7.0,13.0,6.0,7.4,4.2,4.0,17.5,6.2,4.0,9.6,5.6
Sadness,8.2,5.2,4.0,22.0,5.5,4.4,11.5,7.1,5.8,2.8,4.0,11.5,4.0,4.0,7.0,3.0
Desire,10.9,3.9,5.5,17.5,10.8,8.5,11.5,3.0,8.8,3.9,4.0,16.0,8.5,5.5,11.1,5.6
Relaxation,14.3,5.4,7.0,23.5,14.5,10.4,18.2,7.9,17.5,7.1,4.0,28.0,19.0,11.5,22.0,10.5
Happiness,13.9,5.4,7.0,25.0,13.0,10.0,18.2,8.2,17.2,6.7,4.0,28.0,16.0,13.0,23.1,10.1
