,Before Mean (Condition 0),Before Median (Condition 0),Before Std Dev (Condition 0),Before Min (Condition 0),Before Max (Condition 0),Before Q1 (Condition 0),Before Q3 (Condition 0),Before IQR (Condition 0),After Mean (Condition 0),After Median (Condition 0),After Std Dev (Condition 0),After Min (Condition 0),After Max (Condition 0),After Q1 (Condition 0),After Q3 (Condition 0),After IQR (Condition 0),Before Mean (Condition 1),Before Median (Condition 1),Before Std Dev (Condition 1),Before Min (Condition 1),Before Max (Condition 1),Before Q1 (Condition 1),Before Q3 (Condition 1),Before IQR (Condition 1),After Mean (Condition 1),After Median (Condition 1),After Std Dev (Condition 1),After Min (Condition 1),After Max (Condition 1),After Q1 (Condition 1),After Q3 (Condition 1),After IQR (Condition 1),Before Mean (Condition 2),Before Median (Condition 2),Before Std Dev (Condition 2),Before Min (Condition 2),Before Max (Condition 2),Before Q1 (Condition 2),Before Q3 (Condition 2),Before IQR (Condition 2),After Mean (Condition 2),After Median (Condition 2),After Std Dev (Condition 2),After Min (Condition 2),After Max (Condition 2),After Q1 (Condition 2),After Q3 (Condition 2),After IQR (Condition 2)
Anger,6.571428571428571,4.0,3.9415370460918275,4.0,14.5,4.0,7.75,3.75,4.857142857142857,4.0,2.2677868380553634,4.0,10.0,4.0,4.0,0.0,4.642857142857143,4.0,1.7008401285415227,4.0,8.5,4.0,4.0,0.0,4.214285714285714,4.0,0.5669467095138407,4.0,5.5,4.0,4.0,0.0,5.909090909090909,5.5,2.773248833211526,4.0,13.0,4.0,6.25,2.25,5.7727272727272725,4.0,3.408545410902107,4.0,14.5,4.0,5.5,1.5
Disgust,6.357142857142857,4.0,4.964157243969729,4.0,17.5,4.0,5.5,1.5,13.857142857142858,13.0,6.700213216223581,5.5,25.0,9.25,17.5,8.25,5.5,4.0,2.7386127875258306,4.0,11.5,4.0,5.5,1.5,9.785714285714286,10.0,2.6592157812837547,7.0,14.5,7.75,10.75,3.0,5.363636363636363,5.5,1.5666989036012804,4.0,8.5,4.0,6.25,2.25,10.545454545454545,10.0,3.503245248726853,4.0,14.5,8.5,13.75,5.25
Fear,5.714285714285714,4.0,3.914259645377216,4.0,14.5,4.0,4.75,0.75,7.642857142857143,7.0,3.4486022013066604,4.0,13.0,5.5,9.25,3.75,7.214285714285714,5.5,5.368559264032443,4.0,19.0,4.0,7.0,3.0,4.428571428571429,4.0,1.1338934190276817,4.0,7.0,4.0,4.0,0.0,5.636363636363637,4.0,2.550401037983135,4.0,11.5,4.0,7.0,3.0,5.636363636363637,5.5,1.9505244050114972,4.0,10.0,4.0,7.0,3.0
Anxiety,8.285714285714286,7.0,4.101393491415884,4.0,16.0,5.5,10.0,4.5,10.642857142857142,11.5,2.0959143930173156,8.5,13.0,8.5,12.25,3.75,11.285714285714286,13.0,3.401680257083045,5.5,14.5,9.25,13.75,4.5,5.928571428571429,5.5,1.426784596817013,4.0,8.5,5.5,6.25,0.75,9.590909090909092,10.0,3.618136134933164,4.0,16.0,7.0,12.25,5.25,8.090909090909092,7.0,4.504543161177289,4.0,17.5,4.0,10.75,6.75
Sadness,7.642857142857143,4.0,7.186296483088987,4.0,23.5,4.0,7.0,3.0,8.5,7.0,5.612486080160912,4.0,20.5,5.5,8.5,3.0,7.642857142857143,5.5,4.732109164300539,4.0,17.5,4.75,8.5,3.75,5.071428571428571,4.0,1.6690459207925605,4.0,8.5,4.0,5.5,1.5,6.863636363636363,5.5,3.4502964299528607,4.0,13.0,4.0,9.25,5.25,6.318181818181818,4.0,2.951886915794093,4.0,11.5,4.0,8.5,4.5
Desire,9.357142857142858,10.0,4.048809348790968,5.5,16.0,5.5,11.5,6.0,7.214285714285714,4.0,5.298247688757913,4.0,17.5,4.0,8.5,4.5,11.714285714285714,10.0,6.505492185179272,4.0,23.5,7.75,14.5,6.75,10.857142857142858,10.0,4.888032031693036,4.0,17.5,7.75,14.5,6.75,10.0,10.0,3.420526275297414,5.5,17.5,7.75,11.5,3.75,9.454545454545455,8.5,4.150027382165963,4.0,16.0,7.0,11.5,4.5
Relaxation,17.5,19.0,6.244997998398398,8.5,28.0,13.75,19.75,6.0,12.571428571428571,14.5,5.982116204631458,4.0,20.5,8.5,16.0,7.5,16.857142857142858,17.5,5.9281411203561225,5.5,23.5,15.25,20.5,5.25,18.357142857142858,20.5,4.57087050165033,11.5,23.5,15.25,21.25,6.0,14.5,14.5,5.490901565316938,7.0,23.5,10.75,18.25,7.5,16.0,19.0,7.0992957397195395,4.0,25.0,9.25,21.25,12.0
Happiness,14.071428571428571,14.5,3.941537046091827,7.0,20.5,13.75,14.5,0.75,10.857142857142858,11.5,5.11300861947808,4.0,17.5,7.0,14.5,7.5,16.428571428571427,19.0,6.521940990664841,4.0,22.0,13.75,21.25,7.5,16.857142857142858,19.0,4.57087050165033,8.5,20.5,14.5,20.5,6.0,13.954545454545455,13.0,5.583254183066294,7.0,25.0,10.0,17.5,7.5,15.863636363636363,14.5,6.519551016331222,4.0,23.5,12.25,22.75,10.5
