,Before Mean,Before Std Dev,Before Min,Before Max,Before Median,Before Q1,Before Q3,Before IQR,After Mean,After Std Dev,After Min,After Max,After Median,After Q1,After Q3,After IQR
Anger,6.9,6.3,4.0,28.0,4.0,4.0,7.0,3.0,5.1,2.5,4.0,11.5,4.0,4.0,4.0,0.0
Disgust,6.6,5.7,4.0,25.0,4.0,4.0,5.5,1.5,7.2,3.3,4.0,14.5,6.2,4.4,9.6,5.2
Fear,7.3,7.2,4.0,28.0,4.0,4.0,6.6,2.6,4.3,0.9,4.0,7.0,4.0,4.0,4.0,0.0
Anxiety,10.3,6.3,4.0,28.0,8.5,5.9,13.0,7.1,5.9,2.0,4.0,10.0,5.5,4.0,7.0,3.0
Sadness,8.3,6.7,4.0,28.0,5.5,4.4,8.5,4.1,5.4,1.9,4.0,10.0,4.8,4.0,5.5,1.5
Desire,11.2,7.1,4.0,28.0,9.2,7.4,12.6,5.2,10.0,4.5,4.0,17.5,10.0,7.4,12.6,5.2
Relaxation,16.4,6.0,5.5,25.0,17.5,12.2,21.2,9.0,18.4,7.1,4.0,28.0,20.5,13.0,23.1,10.1
Happiness,15.0,6.0,4.0,22.0,16.0,9.2,20.5,11.2,17.3,5.3,7.0,25.0,19.0,14.5,20.5,6.0
