,Before Mean,Before Std Dev,Before Min,Before Max,Before Median,Before Q1,Before Q3,Before IQR,After Mean,After Std Dev,After Min,After Max,After Median,After Q1,After Q3,After IQR
Anger,7.1,5.6,4.0,28.0,4.8,4.0,7.0,3.0,5.2,2.7,4.0,14.5,4.0,4.0,4.4,0.4
Disgust,6.5,4.6,4.0,25.0,5.5,4.0,7.0,3.0,8.4,3.7,4.0,14.5,7.8,5.1,10.4,5.2
Fear,6.7,5.4,4.0,28.0,4.0,4.0,7.0,3.0,4.8,1.5,4.0,10.0,4.0,4.0,5.5,1.5
Anxiety,10.6,5.9,4.0,28.0,9.2,7.0,13.0,6.0,6.7,3.3,4.0,17.5,5.5,4.0,8.5,4.5
Sadness,8.2,5.9,4.0,28.0,5.5,4.0,10.4,6.4,5.6,2.3,4.0,11.5,4.0,4.0,7.0,3.0
Desire,11.0,5.6,4.0,28.0,10.0,8.1,11.9,3.8,9.4,4.2,4.0,17.5,8.5,5.5,11.5,6.0
Relaxation,15.4,5.7,5.5,25.0,16.0,11.1,19.4,8.2,17.9,7.0,4.0,28.0,19.8,12.6,22.4,9.8
Happiness,14.4,5.7,4.0,25.0,13.8,9.6,19.4,9.8,17.2,5.9,4.0,28.0,17.5,13.0,22.0,9.0
