,Before Mean,Before Median,Before Std Dev,Before Min,Before Max,Before Q1,Before Q3,Before IQR,After Mean,After Median,After Std Dev,After Min,After Max,After Q1,After Q3,After IQR
Anger,6.5,4.0,4.910168642476648,4.0,28.0,4.0,7.0,3.0,4.964285714285714,4.0,2.4304793694159996,4.0,14.5,4.0,4.0,0.0
Disgust,6.142857142857143,4.0,4.295893833971298,4.0,25.0,4.0,5.5,1.5,8.642857142857142,7.0,4.844264542188405,4.0,25.0,4.0,11.125,7.125
Fear,6.107142857142857,4.0,4.767184210429385,4.0,28.0,4.0,6.625,2.625,5.142857142857143,4.0,2.142160165397543,4.0,13.0,4.0,5.5,1.5
Anxiety,9.428571428571429,8.5,5.4129152559359595,4.0,28.0,5.5,12.625,7.125,7.035714285714286,5.5,3.3864739146954745,4.0,17.5,4.0,8.5,4.5
Sadness,7.571428571428571,5.5,5.689711969832179,4.0,28.0,4.0,8.5,4.5,5.892857142857143,4.0,3.1439754899701593,4.0,20.5,4.0,7.0,3.0
Desire,10.035714285714286,10.0,5.305764073550687,4.0,28.0,5.5,11.5,6.0,8.571428571428571,8.5,4.3569000903409,4.0,17.5,4.0,11.5,7.5
Relaxation,15.857142857142858,16.0,5.906059016048291,5.5,28.0,10.375,20.5,10.125,16.928571428571427,18.25,6.542144263767366,4.0,28.0,13.0,22.0,9.0
Happiness,13.928571428571429,13.75,5.110452498426726,4.0,25.0,10.0,18.625,8.625,15.821428571428571,16.0,5.778240753212918,4.0,28.0,13.0,20.5,7.5
