,Before Mean,Before Std Dev,Before Min,Before Max,Before Median,Before Q1,Before Q3,Before IQR,After Mean,After Std Dev,After Min,After Max,After Median,After Q1,After Q3,After IQR
Tension,2.7,3.5,0.0,12.0,1.0,0.0,4.8,4.8,0.8,0.9,0.0,2.0,0.5,0.0,1.8,1.8
Vigor,7.1,2.8,1.0,11.0,7.0,5.2,8.8,3.5,7.2,3.0,2.0,12.0,7.5,6.0,9.8,3.8
Confusion,4.4,4.5,0.0,16.0,2.5,2.0,6.2,4.2,2.3,2.0,0.0,6.0,2.0,1.0,3.8,2.8
Fatigue,7.3,4.6,2.0,16.0,6.0,3.2,10.2,7.0,3.6,2.4,0.0,9.0,3.0,2.0,5.0,3.0
Anger_x,2.9,4.4,0.0,16.0,1.5,0.0,3.8,3.8,0.7,1.5,0.0,4.0,0.0,0.0,0.0,0.0
Depression,4.8,5.2,1.0,20.0,3.0,1.2,6.5,5.2,1.4,1.5,0.0,5.0,1.0,0.2,2.0,1.8
