,Before Mean (Condition 0),Before Median (Condition 0),Before Std Dev (Condition 0),Before Min (Condition 0),Before Max (Condition 0),Before Q1 (Condition 0),Before Q3 (Condition 0),Before IQR (Condition 0),After Mean (Condition 0),After Median (Condition 0),After Std Dev (Condition 0),After Min (Condition 0),After Max (Condition 0),After Q1 (Condition 0),After Q3 (Condition 0),After IQR (Condition 0),Before Mean (Condition 1),Before Median (Condition 1),Before Std Dev (Condition 1),Before Min (Condition 1),Before Max (Condition 1),Before Q1 (Condition 1),Before Q3 (Condition 1),Before IQR (Condition 1),After Mean (Condition 1),After Median (Condition 1),After Std Dev (Condition 1),After Min (Condition 1),After Max (Condition 1),After Q1 (Condition 1),After Q3 (Condition 1),After IQR (Condition 1),Before Mean (Condition 2),Before Median (Condition 2),Before Std Dev (Condition 2),Before Min (Condition 2),Before Max (Condition 2),Before Q1 (Condition 2),Before Q3 (Condition 2),Before IQR (Condition 2),After Mean (Condition 2),After Median (Condition 2),After Std Dev (Condition 2),After Min (Condition 2),After Max (Condition 2),After Q1 (Condition 2),After Q3 (Condition 2),After IQR (Condition 2)
Tension,2.5714285714285716,2.0,1.8126539343499315,1.0,6.0,1.5,3.0,1.5,4.142857142857143,3.0,2.6726124191242437,2.0,10.0,3.0,4.0,1.0,3.4285714285714284,4.0,2.439750182371333,0.0,6.0,1.5,5.5,4.0,0.8571428571428571,1.0,0.8997354108424372,0.0,2.0,0.0,1.5,1.5,2.6363636363636362,3.0,2.5009089256799126,0.0,9.0,1.0,3.0,2.0,1.9090909090909092,1.0,2.385562636132007,0.0,6.0,0.0,3.0,3.0
Vigor,8.142857142857142,8.0,1.9518001458970664,6.0,11.0,6.5,9.5,3.0,6.571428571428571,6.0,2.5071326821120348,4.0,11.0,5.0,7.5,2.5,7.0,8.0,3.605551275463989,1.0,11.0,5.0,9.5,4.5,6.571428571428571,6.0,3.25868802112869,2.0,10.0,4.5,9.5,5.0,7.636363636363637,7.0,3.529099807960304,4.0,13.0,4.5,11.0,6.5,6.909090909090909,6.0,3.4483197489370228,3.0,13.0,4.0,9.0,5.0
Confusion,3.5714285714285716,3.0,3.735288603626359,0.0,11.0,1.0,4.5,3.5,6.714285714285714,7.0,2.984084768360628,3.0,11.0,4.5,8.5,4.0,4.428571428571429,2.0,3.909694909544003,1.0,11.0,1.5,7.0,5.5,3.142857142857143,2.0,1.864454471471609,1.0,6.0,2.0,4.5,2.5,4.363636363636363,5.0,2.5009089256799126,1.0,8.0,2.5,6.5,4.0,4.909090909090909,5.0,2.773248833211526,0.0,10.0,3.0,6.5,3.5
Fatigue,4.142857142857143,3.0,3.848314411469495,0.0,9.0,1.0,7.5,6.5,5.714285714285714,4.0,4.191828786034631,0.0,10.0,3.0,10.0,7.0,8.714285714285714,8.0,4.1518785191880605,3.0,15.0,6.0,11.5,5.5,4.571428571428571,4.0,2.370453040886408,2.0,9.0,3.0,5.5,2.5,6.7272727272727275,6.0,2.7601053998320095,3.0,12.0,5.0,8.5,3.5,5.7272727272727275,6.0,2.6866674186027972,2.0,11.0,3.5,7.5,4.0
Anger,6.571428571428571,4.0,3.9415370460918275,4.0,14.5,4.0,7.75,3.75,4.857142857142857,4.0,2.2677868380553634,4.0,10.0,4.0,4.0,0.0,4.642857142857143,4.0,1.7008401285415227,4.0,8.5,4.0,4.0,0.0,4.214285714285714,4.0,0.5669467095138407,4.0,5.5,4.0,4.0,0.0,5.909090909090909,5.5,2.773248833211526,4.0,13.0,4.0,6.25,2.25,5.7727272727272725,4.0,3.408545410902107,4.0,14.5,4.0,5.5,1.5
Depression,2.857142857142857,1.0,4.59813626840888,0.0,13.0,0.5,2.5,2.0,4.285714285714286,3.0,2.9277002188455996,1.0,10.0,3.0,5.0,2.0,4.714285714285714,4.0,2.984084768360628,1.0,10.0,3.0,6.0,3.0,1.2857142857142858,1.0,1.3801311186847085,0.0,3.0,0.0,2.5,2.5,3.727272727272727,3.0,2.5725827135743993,1.0,8.0,2.0,5.0,3.0,2.8181818181818183,2.0,1.9400093720485896,1.0,6.0,1.0,4.0,3.0
