,Before Mean,Before Std Dev,Before Min,Before Max,Before Median,Before Q1,Before Q3,Before IQR,After Mean,After Std Dev,After Min,After Max,After Median,After Q1,After Q3,After IQR
Tension,3.1,2.6,0.0,9.0,3.0,1.2,3.8,2.5,1.6,2.2,0.0,6.0,0.5,0.0,2.0,2.0
Vigor,7.1,3.4,2.0,13.0,7.0,4.2,10.2,6.0,7.2,4.3,1.0,16.0,6.5,4.0,9.5,5.5
Confusion,4.6,2.5,1.0,8.0,5.0,2.2,7.0,4.8,4.1,3.0,0.0,10.0,3.5,2.2,5.8,3.5
Fatigue,7.3,3.2,3.0,14.0,6.5,5.0,9.0,4.0,4.9,3.0,0.0,11.0,5.0,3.0,6.8,3.8
Anger_x,2.8,3.8,0.0,12.0,1.0,0.0,3.8,3.8,1.7,1.7,0.0,5.0,1.5,0.0,2.8,2.8
Depression,5.0,4.3,1.0,15.0,3.5,2.0,7.5,5.5,2.4,2.0,0.0,6.0,2.0,1.0,3.8,2.8
