,Before Mean,Before Std Dev,Before Min,Before Max,Before Median,Before Q1,Before Q3,Before IQR,After Mean,After Std Dev,After Min,After Max,After Median,After Q1,After Q3,After IQR
Tension,1.6,1.8,0.0,6.0,1.0,0.0,2.0,2.0,2.1,2.8,0.0,10.0,1.5,0.0,3.0,3.0
Vigor,7.1,2.6,2.0,11.0,7.0,6.0,8.8,2.8,6.1,2.8,2.0,11.0,6.0,4.2,7.8,3.5
Confusion,2.8,3.2,0.0,11.0,1.5,0.2,4.0,3.8,4.0,3.7,0.0,11.0,3.5,0.2,6.5,6.2
Fatigue,4.5,3.2,0.0,9.0,5.0,1.2,6.0,4.8,4.4,3.4,0.0,10.0,3.5,3.0,4.8,1.8
Anger_x,1.0,1.8,0.0,6.0,0.0,0.0,1.0,1.0,0.6,1.2,0.0,4.0,0.0,0.0,0.8,0.8
Depression,2.2,3.3,0.0,13.0,1.0,1.0,2.8,1.8,2.6,2.6,0.0,10.0,1.5,1.0,3.0,2.0
