,Before Mean,Before Std Dev,Before Min,Before Max,Before Median,Before Q1,Before Q3,Before IQR,After Mean,After Std Dev,After Min,After Max,After Median,After Q1,After Q3,After IQR
Tension,2.9,3.0,0.0,12.0,2.0,0.8,4.2,3.5,1.2,1.7,0.0,6.0,0.5,0.0,2.0,2.0
Vigor,7.1,3.1,1.0,13.0,7.0,5.0,9.2,4.2,7.2,3.6,1.0,16.0,7.0,4.0,10.0,6.0
Confusion,4.5,3.6,0.0,16.0,3.0,2.0,7.0,5.0,3.2,2.7,0.0,10.0,3.0,1.0,5.0,4.0
Fatigue,7.3,3.9,2.0,16.0,6.0,4.8,9.2,4.5,4.2,2.8,0.0,11.0,4.0,2.0,6.0,4.0
Anger_x,2.9,4.1,0.0,16.0,1.0,0.0,4.0,4.0,1.2,1.7,0.0,5.0,0.0,0.0,2.0,2.0
Depression,4.9,4.7,1.0,20.0,3.0,2.0,7.0,5.0,1.9,1.8,0.0,6.0,1.0,1.0,3.0,2.0
