,Before Mean,Before Std Dev,Before Min,Before Max,Before Median,Before Q1,Before Q3,Before IQR,After Mean,After Std Dev,After Min,After Max,After Median,After Q1,After Q3,After IQR
Tension,2.5,2.7,0.0,12.0,2.0,0.0,3.8,3.8,1.5,2.1,0.0,10.0,1.0,0.0,2.0,2.0
Vigor,7.1,2.9,1.0,13.0,7.0,5.0,9.0,4.0,6.9,3.4,1.0,16.0,6.0,4.0,9.0,5.0
Confusion,3.9,3.5,0.0,16.0,3.0,1.0,6.8,5.8,3.5,3.0,0.0,11.0,3.0,1.0,5.0,4.0
Fatigue,6.4,3.9,0.0,16.0,6.0,3.2,9.0,5.8,4.3,2.9,0.0,11.0,4.0,2.2,6.0,3.8
Anger_x,2.2,3.6,0.0,16.0,0.5,0.0,3.0,3.0,1.0,1.5,0.0,5.0,0.0,0.0,2.0,2.0
Depression,4.0,4.4,0.0,20.0,2.0,1.0,4.8,3.8,2.2,2.1,0.0,10.0,1.0,1.0,3.0,2.0
